




Analysis Type:	PANTHER Overrepresentation Test (Released 20171205)
Annotation Version and Release Date:	GO Ontology database  Released 2018-04-04
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
GO biological process complete	Homo sapiens - REFLIST (21042)	upload_1 (319)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
methionine metabolic process (GO:0006555)	21	2	.32	+	6.28	4.58E-02	8.48E-01
lysine biosynthetic process (GO:0009085)	2	1	.03	+	32.98	4.41E-02	8.48E-01
cardiac ventricle development (GO:0003231)	120	5	1.82	+	2.75	3.97E-02	8.48E-01
phospholipase C-activating angiotensin-activated signaling pathway (GO:0086097)	2	1	.03	+	32.98	4.41E-02	8.49E-01
positive regulation of protein localization to membrane (GO:1905477)	120	5	1.82	+	2.75	3.97E-02	8.49E-01
monounsaturated fatty acid biosynthetic process (GO:1903966)	2	1	.03	+	32.98	4.41E-02	8.50E-01
pyridoxine metabolic process (GO:0008614)	2	1	.03	+	32.98	4.41E-02	8.51E-01
pyridoxine biosynthetic process (GO:0008615)	2	1	.03	+	32.98	4.41E-02	8.52E-01
regulation of response to oxidative stress (GO:1902882)	82	4	1.24	+	3.22	3.99E-02	8.52E-01
positive regulation of high-density lipoprotein particle clearance (GO:0010983)	2	1	.03	+	32.98	4.41E-02	8.53E-01
sensitization (GO:0046960)	2	1	.03	+	32.98	4.41E-02	8.54E-01
negative regulation of nodal signaling pathway involved in determination of left/right asymmetry (GO:1900146)	2	1	.03	+	32.98	4.41E-02	8.55E-01
regulation of megakaryocyte differentiation (GO:0045652)	51	3	.77	+	3.88	4.68E-02	8.56E-01
negative regulation of nodal signaling pathway involved in determination of lateral mesoderm left/right asymmetry (GO:1900176)	2	1	.03	+	32.98	4.41E-02	8.56E-01
phosphorylation (GO:0016310)	1312	29	19.89	+	1.46	4.68E-02	8.57E-01
10-formyltetrahydrofolate biosynthetic process (GO:0009257)	2	1	.03	+	32.98	4.41E-02	8.57E-01
carbohydrate metabolic process (GO:0005975)	506	14	7.67	+	1.83	4.02E-02	8.58E-01
lipopolysaccharide transport (GO:0015920)	2	1	.03	+	32.98	4.41E-02	8.58E-01
farnesol metabolic process (GO:0016487)	2	1	.03	+	32.98	4.41E-02	8.60E-01
farnesol catabolic process (GO:0016488)	2	1	.03	+	32.98	4.41E-02	8.61E-01
histidine biosynthetic process (GO:0000105)	2	1	.03	+	32.98	4.41E-02	8.62E-01
response to thyrotropin-releasing hormone (GO:1905225)	2	1	.03	+	32.98	4.41E-02	8.63E-01
swimming behavior (GO:0036269)	2	1	.03	+	32.98	4.41E-02	8.64E-01
regulation of calcium-independent cell-cell adhesion (GO:0051040)	2	1	.03	+	32.98	4.41E-02	8.65E-01
regulation of activated CD8-positive, alpha-beta T cell apoptotic process (GO:1905402)	2	1	.03	+	32.98	4.41E-02	8.66E-01
activation of protein kinase C activity (GO:1990051)	2	1	.03	+	32.98	4.41E-02	8.67E-01
negative regulation of protein kinase C signaling (GO:0090038)	2	1	.03	+	32.98	4.41E-02	8.68E-01
positive regulation of cation transmembrane transport (GO:1904064)	121	5	1.83	+	2.73	4.08E-02	8.69E-01
regulation of oligopeptide transport (GO:0090088)	2	1	.03	+	32.98	4.41E-02	8.69E-01
regulation of dipeptide transport (GO:0090089)	2	1	.03	+	32.98	4.41E-02	8.70E-01
auxin metabolic process (GO:0009850)	2	1	.03	+	32.98	4.41E-02	8.72E-01
intracellular signal transduction (GO:0035556)	1689	16	25.61	-	.62	4.77E-02	8.72E-01
auxin catabolic process (GO:0009852)	2	1	.03	+	32.98	4.41E-02	8.73E-01
modification of dendritic spine (GO:0098886)	2	1	.03	+	32.98	4.41E-02	8.74E-01
vesicle-mediated cholesterol transport (GO:0090119)	2	1	.03	+	32.98	4.41E-02	8.75E-01
respiratory tube development (GO:0030323)	169	6	2.56	+	2.34	4.80E-02	8.75E-01
positive regulation of determination of dorsal identity (GO:2000017)	2	1	.03	+	32.98	4.41E-02	8.76E-01
nucleoside diphosphate metabolic process (GO:0009132)	83	4	1.26	+	3.18	4.14E-02	8.76E-01
AMP catabolic process (GO:0006196)	2	1	.03	+	32.98	4.41E-02	8.77E-01
positive regulation of cell division (GO:0051781)	83	4	1.26	+	3.18	4.14E-02	8.77E-01
negative regulation of oxidative phosphorylation uncoupler activity (GO:2000276)	2	1	.03	+	32.98	4.41E-02	8.78E-01
vitamin metabolic process (GO:0006766)	127	5	1.93	+	2.60	4.82E-02	8.79E-01
metanephros development (GO:0001656)	83	4	1.26	+	3.18	4.14E-02	8.79E-01
protein-pyridoxal-5-phosphate linkage (GO:0018352)	2	1	.03	+	32.98	4.41E-02	8.79E-01
regulation of response to drug (GO:2001023)	83	4	1.26	+	3.18	4.14E-02	8.80E-01
lipid transport (GO:0006869)	277	9	4.20	+	2.14	4.17E-02	8.80E-01
general adaptation syndrome (GO:0051866)	2	1	.03	+	32.98	4.41E-02	8.80E-01
regulation of angiogenesis (GO:0045765)	277	9	4.20	+	2.14	4.17E-02	8.81E-01
peptidyl-tyrosine sulfation (GO:0006478)	2	1	.03	+	32.98	4.41E-02	8.82E-01
regulation of glutamine transport (GO:2000485)	2	1	.03	+	32.98	4.41E-02	8.83E-01
immune effector process (GO:0002252)	1038	8	15.74	-	.51	4.85E-02	8.83E-01
asparagine catabolic process (GO:0006530)	2	1	.03	+	32.98	4.41E-02	8.84E-01
intraciliary transport (GO:0042073)	49	3	.74	+	4.04	4.26E-02	8.84E-01
positive regulation of mesonephros development (GO:0061213)	22	2	.33	+	6.00	4.94E-02	8.85E-01
sensory perception of mechanical stimulus (GO:0050954)	164	6	2.49	+	2.41	4.27E-02	8.85E-01
kidney epithelium development (GO:0072073)	128	5	1.94	+	2.58	4.95E-02	8.85E-01
glutamine biosynthetic process (GO:0006542)	2	1	.03	+	32.98	4.41E-02	8.85E-01
negative regulation of tumor necrosis factor superfamily cytokine production (GO:1903556)	49	3	.74	+	4.04	4.26E-02	8.85E-01
behavioral response to cocaine (GO:0048148)	22	2	.33	+	6.00	4.94E-02	8.86E-01
positive regulation of biological process (GO:0048518)	5736	103	86.96	+	1.18	4.96E-02	8.86E-01
morphogenesis of an epithelial fold (GO:0060571)	20	2	.30	+	6.60	4.22E-02	8.86E-01
positive regulation of retinal ganglion cell axon guidance (GO:1902336)	2	1	.03	+	32.98	4.41E-02	8.86E-01
response to cold (GO:0009409)	49	3	.74	+	4.04	4.26E-02	8.87E-01
regulation of renal sodium excretion (GO:0035813)	22	2	.33	+	6.00	4.94E-02	8.87E-01
atrial septum development (GO:0003283)	20	2	.30	+	6.60	4.22E-02	8.87E-01
VEGF-activated neuropilin signaling pathway (GO:0038190)	2	1	.03	+	32.98	4.41E-02	8.87E-01
regulation of insulin-like growth factor receptor signaling pathway (GO:0043567)	22	2	.33	+	6.00	4.94E-02	8.88E-01
positive regulation of calcium ion transport into cytosol (GO:0010524)	52	3	.79	+	3.81	4.90E-02	8.88E-01
positive regulation of oxidoreductase activity (GO:0051353)	49	3	.74	+	4.04	4.26E-02	8.88E-01
positive regulation of nitric-oxide synthase activity (GO:0051000)	20	2	.30	+	6.60	4.22E-02	8.88E-01
thyroid-stimulating hormone signaling pathway (GO:0038194)	2	1	.03	+	32.98	4.41E-02	8.88E-01
bone growth (GO:0098868)	22	2	.33	+	6.00	4.94E-02	8.89E-01
response to cocaine (GO:0042220)	52	3	.79	+	3.81	4.90E-02	8.89E-01
mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	49	3	.74	+	4.04	4.26E-02	8.89E-01
interspecies interaction between organisms (GO:0044419)	780	5	11.82	-	.42	4.89E-02	8.89E-01
negative regulation of axon extension involved in axon guidance (GO:0048843)	20	2	.30	+	6.60	4.22E-02	8.89E-01
leukocyte chemotaxis involved in inflammatory response (GO:0002232)	2	1	.03	+	32.98	4.41E-02	8.90E-01
cellular response to pH (GO:0071467)	22	2	.33	+	6.00	4.94E-02	8.90E-01
response to glucagon (GO:0033762)	52	3	.79	+	3.81	4.90E-02	8.90E-01
regulation of locomotion (GO:0040012)	895	21	13.57	+	1.55	4.99E-02	8.90E-01
negative regulation of reactive oxygen species metabolic process (GO:2000378)	49	3	.74	+	4.04	4.26E-02	8.90E-01
regulation of response to stimulus (GO:0048583)	4250	79	64.43	+	1.23	4.92E-02	8.90E-01
cellular nitrogen compound metabolic process (GO:0034641)	5248	64	79.56	-	.80	5.00E-02	8.90E-01
uterus development (GO:0060065)	22	2	.33	+	6.00	4.94E-02	8.91E-01
negative regulation of macrophage inflammatory protein 1 alpha production (GO:0071641)	2	1	.03	+	32.98	4.41E-02	8.91E-01
hexose biosynthetic process (GO:0019319)	49	3	.74	+	4.04	4.26E-02	8.91E-01
synaptic transmission, dopaminergic (GO:0001963)	22	2	.33	+	6.00	4.94E-02	8.92E-01
regulation of multicellular organismal development (GO:2000026)	1894	39	28.71	+	1.36	4.93E-02	8.92E-01
corticotropin hormone secreting cell differentiation (GO:0060128)	2	1	.03	+	32.98	4.41E-02	8.92E-01
regulation of peptide hormone secretion (GO:0090276)	208	7	3.15	+	2.22	4.31E-02	8.92E-01
alcohol catabolic process (GO:0046164)	49	3	.74	+	4.04	4.26E-02	8.92E-01
glycerolipid metabolic process (GO:0046486)	426	12	6.46	+	1.86	4.26E-02	8.93E-01
negative regulation of axon guidance (GO:1902668)	22	2	.33	+	6.00	4.94E-02	8.93E-01
cell differentiation (GO:0030154)	3610	69	54.73	+	1.26	4.33E-02	8.93E-01
regulation of dipeptide transmembrane transport (GO:2001148)	2	1	.03	+	32.98	4.41E-02	8.93E-01
embryonic skeletal system development (GO:0048706)	123	5	1.86	+	2.68	4.32E-02	8.93E-01
positive regulation of dipeptide transmembrane transport (GO:2001150)	2	1	.03	+	32.98	4.41E-02	8.94E-01
regulation of cell differentiation (GO:0045595)	1718	36	26.05	+	1.38	5.03E-02	8.95E-01
negative regulation of signal transduction (GO:0009968)	1260	28	19.10	+	1.47	4.34E-02	8.95E-01
positive regulation of respiratory burst involved in inflammatory response (GO:0060265)	2	1	.03	+	32.98	4.41E-02	8.95E-01
positive regulation of ovulation (GO:0060279)	2	1	.03	+	32.98	4.41E-02	8.96E-01
positive regulation of activation of membrane attack complex (GO:0001970)	2	1	.03	+	32.98	4.41E-02	8.98E-01
malonyl-CoA biosynthetic process (GO:2001295)	2	1	.03	+	32.98	4.41E-02	8.99E-01
lung development (GO:0030324)	165	6	2.50	+	2.40	4.37E-02	9.00E-01
primitive erythrocyte differentiation (GO:0060319)	2	1	.03	+	32.98	4.41E-02	9.00E-01
multicellular organismal signaling (GO:0035637)	129	5	1.96	+	2.56	5.08E-02	9.00E-01
viral process (GO:0016032)	662	4	10.04	-	.40	5.07E-02	9.00E-01
oxidoreduction coenzyme metabolic process (GO:0006733)	129	5	1.96	+	2.56	5.08E-02	9.01E-01
positive regulation of oligopeptide transport (GO:2000878)	2	1	.03	+	32.98	4.41E-02	9.01E-01
regulation of cellular component movement (GO:0051270)	900	21	13.64	+	1.54	5.10E-02	9.01E-01
response to ammonium ion (GO:0060359)	129	5	1.96	+	2.56	5.08E-02	9.02E-01
positive regulation of dipeptide transport (GO:2000880)	2	1	.03	+	32.98	4.41E-02	9.02E-01
negative regulation of actin filament polymerization (GO:0030837)	53	3	.80	+	3.73	5.12E-02	9.03E-01
positive regulation of vasculature development (GO:1904018)	178	6	2.70	+	2.22	5.84E-02	9.03E-01
phenylacetate catabolic process (GO:0010124)	2	1	.03	+	32.98	4.41E-02	9.04E-01
regulation of cholesterol metabolic process (GO:0090181)	53	3	.80	+	3.73	5.12E-02	9.04E-01
prostate epithelial cord elongation (GO:0060523)	3	1	.05	+	21.99	5.84E-02	9.04E-01
negative regulation of apoptotic process (GO:0043066)	901	21	13.66	+	1.54	5.12E-02	9.04E-01
multi-organism reproductive process (GO:0044703)	964	22	14.61	+	1.51	5.86E-02	9.05E-01
activation of blood coagulation via clotting cascade (GO:0002543)	2	1	.03	+	32.98	4.41E-02	9.05E-01
heart induction (GO:0003129)	3	1	.05	+	21.99	5.84E-02	9.05E-01
BMP signaling pathway involved in heart induction (GO:0003130)	3	1	.05	+	21.99	5.84E-02	9.06E-01
primary lung bud formation (GO:0060431)	2	1	.03	+	32.98	4.41E-02	9.06E-01
endodermal-mesodermal cell signaling (GO:0003133)	3	1	.05	+	21.99	5.84E-02	9.07E-01
glycerol-3-phosphate catabolic process (GO:0046168)	2	1	.03	+	32.98	4.41E-02	9.07E-01
endodermal-mesodermal cell signaling involved in heart induction (GO:0003134)	3	1	.05	+	21.99	5.84E-02	9.08E-01
branchiomeric skeletal muscle development (GO:0014707)	3	1	.05	+	21.99	5.84E-02	9.08E-01
negative regulation of anion channel activity (GO:0010360)	3	1	.05	+	21.99	5.84E-02	9.09E-01
endocardial cushion fusion (GO:0003274)	3	1	.05	+	21.99	5.84E-02	9.10E-01
positive regulation of complement activation (GO:0045917)	3	1	.05	+	21.99	5.84E-02	9.11E-01
gamma-aminobutyric acid receptor clustering (GO:0097112)	3	1	.05	+	21.99	5.84E-02	9.12E-01
cell-cell adhesion (GO:0098609)	448	12	6.79	+	1.77	5.20E-02	9.13E-01
cell proliferation involved in mesonephros development (GO:0061209)	3	1	.05	+	21.99	5.84E-02	9.13E-01
muscle organ development (GO:0007517)	299	9	4.53	+	1.99	5.20E-02	9.14E-01
embryonic heart tube anterior/posterior pattern specification (GO:0035054)	3	1	.05	+	21.99	5.84E-02	9.14E-01
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	467	2	7.08	-	.28	5.22E-02	9.14E-01
positive regulation of small molecule metabolic process (GO:0062013)	173	6	2.62	+	2.29	5.25E-02	9.14E-01
positive regulation of hormone secretion (GO:0046887)	130	5	1.97	+	2.54	5.22E-02	9.14E-01
lipid localization (GO:0010876)	299	9	4.53	+	1.99	5.20E-02	9.15E-01
thymine metabolic process (GO:0019859)	3	1	.05	+	21.99	5.84E-02	9.15E-01
feeding behavior (GO:0007631)	94	4	1.43	+	2.81	5.93E-02	9.15E-01
hormone-mediated signaling pathway (GO:0009755)	173	6	2.62	+	2.29	5.25E-02	9.15E-01
negative regulation of protein complex assembly (GO:0031333)	130	5	1.97	+	2.54	5.22E-02	9.15E-01
immune response-regulating signaling pathway (GO:0002764)	564	3	8.55	-	.35	5.24E-02	9.16E-01
cardiac vascular smooth muscle cell development (GO:0060948)	3	1	.05	+	21.99	5.84E-02	9.16E-01
development of primary female sexual characteristics (GO:0046545)	90	4	1.36	+	2.93	5.24E-02	9.16E-01
operant conditioning (GO:0035106)	3	1	.05	+	21.99	5.84E-02	9.17E-01
regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043281)	218	7	3.30	+	2.12	5.27E-02	9.18E-01
positive regulation of hydrogen peroxide metabolic process (GO:0010726)	3	1	.05	+	21.99	5.84E-02	9.18E-01
polyprenol catabolic process (GO:0016095)	3	1	.05	+	21.99	5.84E-02	9.19E-01
negative regulation of follicle-stimulating hormone secretion (GO:0046882)	3	1	.05	+	21.99	5.84E-02	9.19E-01
regulation of mitochondrion organization (GO:0010821)	179	6	2.71	+	2.21	5.97E-02	9.20E-01
positive regulation of cellular carbohydrate metabolic process (GO:0010676)	54	3	.82	+	3.66	5.35E-02	9.20E-01
negative regulation of peroxisome proliferator activated receptor signaling pathway (GO:0035359)	3	1	.05	+	21.99	5.84E-02	9.20E-01
cellular response to angiotensin (GO:1904385)	23	2	.35	+	5.74	5.32E-02	9.21E-01
regulation of kidney development (GO:0090183)	54	3	.82	+	3.66	5.35E-02	9.21E-01
monounsaturated fatty acid metabolic process (GO:1903964)	3	1	.05	+	21.99	5.84E-02	9.21E-01
DNA catabolic process, endonucleolytic (GO:0000737)	23	2	.35	+	5.74	5.32E-02	9.22E-01
cellular response to cAMP (GO:0071320)	54	3	.82	+	3.66	5.35E-02	9.22E-01
regulation of high-density lipoprotein particle clearance (GO:0010982)	3	1	.05	+	21.99	5.84E-02	9.22E-01
ribonucleoprotein complex subunit organization (GO:0071826)	229	0	3.47	-	 < 0.01	5.35E-02	9.22E-01
positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus (GO:1901522)	23	2	.35	+	5.74	5.32E-02	9.23E-01
protein-containing complex disassembly (GO:0032984)	227	0	3.44	-	 < 0.01	5.34E-02	9.23E-01
negative regulation of nodal signaling pathway (GO:1900108)	3	1	.05	+	21.99	5.84E-02	9.23E-01
cellular response to vitamin (GO:0071295)	23	2	.35	+	5.74	5.32E-02	9.24E-01
cell envelope organization (GO:0043163)	3	1	.05	+	21.99	5.84E-02	9.24E-01
regulation of osteoblast proliferation (GO:0033688)	23	2	.35	+	5.74	5.32E-02	9.25E-01
proteolysis involved in cellular protein catabolic process (GO:0051603)	576	3	8.73	-	.34	5.32E-02	9.25E-01
response to methionine (GO:1904640)	3	1	.05	+	21.99	5.84E-02	9.25E-01
regulation of molecular function (GO:0065009)	3210	61	48.66	+	1.25	6.01E-02	9.26E-01
sulfate assimilation (GO:0000103)	3	1	.05	+	21.99	5.84E-02	9.26E-01
vitamin B6 biosynthetic process (GO:0042819)	3	1	.05	+	21.99	5.84E-02	9.27E-01
regulation of iron ion import (GO:1900390)	3	1	.05	+	21.99	5.84E-02	9.28E-01
negative regulation of glucagon secretion (GO:0070093)	3	1	.05	+	21.99	5.84E-02	9.29E-01
response to hydrogen sulfide (GO:1904880)	3	1	.05	+	21.99	5.84E-02	9.30E-01
re-entry into mitotic cell cycle (GO:0000320)	3	1	.05	+	21.99	5.84E-02	9.31E-01
modification of postsynaptic structure (GO:0099010)	3	1	.05	+	21.99	5.84E-02	9.32E-01
nucleoside diphosphate phosphorylation (GO:0006165)	57	3	.86	+	3.47	6.06E-02	9.32E-01
hepaticobiliary system development (GO:0061008)	136	5	2.06	+	2.43	6.06E-02	9.32E-01
alcohol biosynthetic process (GO:0046165)	95	4	1.44	+	2.78	6.11E-02	9.32E-01
negative regulation of anion transport (GO:1903792)	25	2	.38	+	5.28	6.11E-02	9.32E-01
tendon cell differentiation (GO:0035990)	3	1	.05	+	21.99	5.84E-02	9.33E-01
establishment of protein localization to membrane (GO:0090150)	238	0	3.61	-	 < 0.01	5.44E-02	9.33E-01
multicellular organismal reproductive process (GO:0048609)	798	19	12.10	+	1.57	5.43E-02	9.33E-01
regulation of protein kinase A signaling (GO:0010738)	25	2	.38	+	5.28	6.11E-02	9.33E-01
tendon formation (GO:0035992)	3	1	.05	+	21.99	5.84E-02	9.34E-01
regulation of excretion (GO:0044062)	25	2	.38	+	5.28	6.11E-02	9.34E-01
cellular amide catabolic process (GO:0043605)	3	1	.05	+	21.99	5.84E-02	9.35E-01
cochlea morphogenesis (GO:0090103)	25	2	.38	+	5.28	6.11E-02	9.35E-01
establishment of protein localization (GO:0045184)	1497	14	22.69	-	.62	6.09E-02	9.35E-01
cellular response to potassium ion starvation (GO:0051365)	3	1	.05	+	21.99	5.84E-02	9.36E-01
pharyngeal system development (GO:0060037)	25	2	.38	+	5.28	6.11E-02	9.36E-01
thermoception (GO:0050955)	3	1	.05	+	21.99	5.84E-02	9.36E-01
regulation of hydrogen peroxide-induced cell death (GO:1903205)	25	2	.38	+	5.28	6.11E-02	9.37E-01
detection of chemical stimulus involved in sensory perception of pain (GO:0050968)	3	1	.05	+	21.99	5.84E-02	9.37E-01
macromolecule methylation (GO:0043414)	240	0	3.64	-	 < 0.01	5.47E-02	9.38E-01
prostaglandin secretion (GO:0032310)	3	1	.05	+	21.99	5.84E-02	9.38E-01
striated muscle cell development (GO:0055002)	132	5	2.00	+	2.50	5.49E-02	9.39E-01
protein K6-linked deubiquitination (GO:0044313)	3	1	.05	+	21.99	5.84E-02	9.39E-01
positive regulation of chemotaxis (GO:0050921)	132	5	2.00	+	2.50	5.49E-02	9.40E-01
otolith morphogenesis (GO:0032474)	3	1	.05	+	21.99	5.84E-02	9.40E-01
pyrimidine nucleobase catabolic process (GO:0006208)	3	1	.05	+	21.99	5.84E-02	9.41E-01
thymine catabolic process (GO:0006210)	3	1	.05	+	21.99	5.84E-02	9.42E-01
cellular response to peptide (GO:1901653)	314	9	4.76	+	1.89	6.19E-02	9.42E-01
regulation of testosterone biosynthetic process (GO:2000224)	3	1	.05	+	21.99	5.84E-02	9.43E-01
positive regulation of protein activation cascade (GO:2000259)	3	1	.05	+	21.99	5.84E-02	9.44E-01
monosaccharide biosynthetic process (GO:0046364)	55	3	.83	+	3.60	5.58E-02	9.45E-01
hydrogen sulfide biosynthetic process (GO:0070814)	3	1	.05	+	21.99	5.84E-02	9.45E-01
RNA catabolic process (GO:0006401)	245	0	3.71	-	 < 0.01	5.59E-02	9.46E-01
cardiac muscle cell development (GO:0055013)	55	3	.83	+	3.60	5.58E-02	9.46E-01
negative regulation of histone phosphorylation (GO:0033128)	3	1	.05	+	21.99	5.84E-02	9.46E-01
positive regulation of eosinophil migration (GO:2000418)	3	1	.05	+	21.99	5.84E-02	9.47E-01
long-chain fatty acid transport (GO:0015909)	55	3	.83	+	3.60	5.58E-02	9.47E-01
VEGF-activated platelet-derived growth factor receptor signaling pathway (GO:0038086)	3	1	.05	+	21.99	5.84E-02	9.48E-01
cellular response to fatty acid (GO:0071398)	55	3	.83	+	3.60	5.58E-02	9.48E-01
positive regulation of cell proliferation by VEGF-activated platelet derived growth factor receptor signaling pathway (GO:0038091)	3	1	.05	+	21.99	5.84E-02	9.49E-01
regulation of monooxygenase activity (GO:0032768)	55	3	.83	+	3.60	5.58E-02	9.49E-01
regulation of cellular carbohydrate metabolic process (GO:0010675)	133	5	2.02	+	2.48	5.63E-02	9.50E-01
external encapsulating structure organization (GO:0045229)	3	1	.05	+	21.99	5.84E-02	9.50E-01
positive regulation of cation channel activity (GO:2001259)	55	3	.83	+	3.60	5.58E-02	9.50E-01
liver development (GO:0001889)	133	5	2.02	+	2.48	5.63E-02	9.51E-01
osteoclast proliferation (GO:0002158)	3	1	.05	+	21.99	5.84E-02	9.51E-01
regulation of apoptotic signaling pathway (GO:2001233)	390	11	5.91	+	1.86	5.57E-02	9.51E-01
protein homooligomerization (GO:0051260)	306	9	4.64	+	1.94	5.63E-02	9.51E-01
negative regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043154)	92	4	1.39	+	2.87	5.58E-02	9.51E-01
negative regulation of secretion by cell (GO:1903531)	177	6	2.68	+	2.24	5.72E-02	9.51E-01
estrogen metabolic process (GO:0008210)	24	2	.36	+	5.50	5.71E-02	9.52E-01
negative regulation of superoxide anion generation (GO:0032929)	3	1	.05	+	21.99	5.84E-02	9.52E-01
regulation of fatty acid metabolic process (GO:0019217)	92	4	1.39	+	2.87	5.58E-02	9.52E-01
regulation of insulin secretion (GO:0050796)	177	6	2.68	+	2.24	5.72E-02	9.52E-01
regulation of platelet-derived growth factor receptor signaling pathway (GO:0010640)	24	2	.36	+	5.50	5.71E-02	9.53E-01
thyroid-stimulating hormone-secreting cell differentiation (GO:0060129)	3	1	.05	+	21.99	5.84E-02	9.53E-01
apoptotic nuclear changes (GO:0030262)	24	2	.36	+	5.50	5.71E-02	9.54E-01
mesenchymal cell proliferation involved in ureteric bud development (GO:0072138)	3	1	.05	+	21.99	5.84E-02	9.54E-01
aspartate family amino acid catabolic process (GO:0009068)	24	2	.36	+	5.50	5.71E-02	9.55E-01
negative regulation of interleukin-13 secretion (GO:2000666)	3	1	.05	+	21.99	5.84E-02	9.55E-01
cell cycle process (GO:0022402)	1018	8	15.43	-	.52	6.28E-02	9.55E-01
regulation of membrane protein ectodomain proteolysis (GO:0051043)	24	2	.36	+	5.50	5.71E-02	9.56E-01
embryonic skeletal system morphogenesis (GO:0048704)	93	4	1.41	+	2.84	5.75E-02	9.56E-01
sesquiterpenoid metabolic process (GO:0006714)	3	1	.05	+	21.99	5.84E-02	9.56E-01
blood vessel endothelial cell migration (GO:0043534)	24	2	.36	+	5.50	5.71E-02	9.57E-01
positive regulation of ion transmembrane transport (GO:0034767)	134	5	2.03	+	2.46	5.77E-02	9.57E-01
regulation of ovulation (GO:0060278)	3	1	.05	+	21.99	5.84E-02	9.57E-01
inner ear morphogenesis (GO:0042472)	96	4	1.46	+	2.75	6.30E-02	9.57E-01
Fc receptor signaling pathway (GO:0038093)	251	0	3.81	-	 < 0.01	5.78E-02	9.58E-01
positive regulation of cofactor metabolic process (GO:0051194)	24	2	.36	+	5.50	5.71E-02	9.58E-01
negative regulation of cytoskeleton organization (GO:0051494)	134	5	2.03	+	2.46	5.77E-02	9.58E-01
regulation of activation of membrane attack complex (GO:0001969)	3	1	.05	+	21.99	5.84E-02	9.58E-01
symbiont process (GO:0044403)	737	5	11.17	-	.45	6.31E-02	9.59E-01
regulation of appetite (GO:0032098)	24	2	.36	+	5.50	5.71E-02	9.59E-01
L-lysine catabolic process to acetyl-CoA via saccharopine (GO:0033512)	3	1	.05	+	21.99	5.84E-02	9.59E-01
regulation of response to extracellular stimulus (GO:0032104)	24	2	.36	+	5.50	5.71E-02	9.60E-01
lactate biosynthetic process (GO:0019249)	3	1	.05	+	21.99	5.84E-02	9.60E-01
regulation of response to nutrient levels (GO:0032107)	24	2	.36	+	5.50	5.71E-02	9.61E-01
malonyl-CoA metabolic process (GO:2001293)	3	1	.05	+	21.99	5.84E-02	9.61E-01
negative regulation of growth (GO:0045926)	244	8	3.70	+	2.16	5.82E-02	9.62E-01
purine nucleobase metabolic process (GO:0006144)	24	2	.36	+	5.50	5.71E-02	9.62E-01
cysteine biosynthetic process via cystathionine (GO:0019343)	3	1	.05	+	21.99	5.84E-02	9.62E-01
negative regulation of small GTPase mediated signal transduction (GO:0051058)	56	3	.85	+	3.53	5.82E-02	9.62E-01
axon target recognition (GO:0007412)	3	1	.05	+	21.99	5.84E-02	9.63E-01
lung induction (GO:0060492)	3	1	.05	+	21.99	5.84E-02	9.64E-01
leukocyte mediated immunity (GO:0002443)	745	5	11.29	-	.44	6.36E-02	9.65E-01
organic cyclic compound catabolic process (GO:1901361)	505	13	7.66	+	1.70	6.39E-02	9.68E-01
cellular developmental process (GO:0048869)	3698	69	56.06	+	1.23	6.41E-02	9.70E-01
cellular response to organic cyclic compound (GO:0071407)	508	13	7.70	+	1.69	6.52E-02	9.76E-01
response to sterol (GO:0036314)	26	2	.39	+	5.07	6.52E-02	9.77E-01
positive regulation of positive chemotaxis (GO:0050927)	26	2	.39	+	5.07	6.52E-02	9.78E-01
endothelial cell migration (GO:0043542)	59	3	.89	+	3.35	6.55E-02	9.78E-01
cell motility (GO:0048870)	1023	23	15.51	+	1.48	6.54E-02	9.79E-01
intracellular lipid transport (GO:0032365)	26	2	.39	+	5.07	6.52E-02	9.79E-01
regulation of sodium ion transmembrane transport (GO:1902305)	59	3	.89	+	3.35	6.55E-02	9.79E-01
localization of cell (GO:0051674)	1023	23	15.51	+	1.48	6.54E-02	9.80E-01
cellular response to copper ion (GO:0071280)	26	2	.39	+	5.07	6.52E-02	9.80E-01
nephron epithelium development (GO:0072009)	97	4	1.47	+	2.72	6.48E-02	9.81E-01
positive regulation of cellular protein localization (GO:1903829)	318	9	4.82	+	1.87	6.49E-02	9.81E-01
response to angiotensin (GO:1990776)	26	2	.39	+	5.07	6.52E-02	9.81E-01
steroid catabolic process (GO:0006706)	26	2	.39	+	5.07	6.52E-02	9.82E-01
cellular component disassembly involved in execution phase of apoptosis (GO:0006921)	26	2	.39	+	5.07	6.52E-02	9.83E-01
epithelial tube branching involved in lung morphogenesis (GO:0060441)	26	2	.39	+	5.07	6.52E-02	9.84E-01
cerebellum development (GO:0021549)	98	4	1.49	+	2.69	6.67E-02	9.95E-01
